state,slug,title,type,rating,minPrice
Andhra Pradesh,somarama,"Somarama",spiritual,4.3,900
Andhra Pradesh,mogalrajapuram-caves,"Mogalrajapuram caves",spiritual,4.4,900
Andhra Pradesh,pulicat-lake-bird-sanctuary,"Pulicat Lake Bird Sanctuary",wildlife,4.6,2500
Andhra Pradesh,talakona,"Talakona",heritage,4.2,900
Andhra Pradesh,chandragiri-fort,"Chandragiri Fort",heritage,4.1,900
Andhra Pradesh,palli-kondeswarar-temple-surutupalle,"Palli Kondeswarar Temple, Surutupalle",spiritual,4.2,900
Andhra Pradesh,kumararama,"Kumararama",spiritual,4.1,900
Andhra Pradesh,chintala-venkataramana-temple-tadipatri,"Chintala Venkataramana Temple, Tadipatri",spiritual,4.5,900
Andhra Pradesh,annavaram-satyanarayana-temple,"Annavaram Satyanarayana Temple",spiritual,4.5,900
Andhra Pradesh,manjira-wildlife-sanctuary,"Manjira Wildlife Sanctuary",wildlife,4.1,2500
Andhra Pradesh,kambalakonda-wildlife-sanctuary,"Kambalakonda Wildlife Sanctuary",wildlife,4.6,2500
Andhra Pradesh,kondakarla-ava,"Kondakarla Āva",beach,4.7,1200
Andhra Pradesh,vodarevu-beach,"Vodarevu Beach",beach,4.2,1200
Andhra Pradesh,gooty-fort,"Gooty Fort",heritage,4.2,900
Andhra Pradesh,madaksira-hill-fort,"Madaksira hill fort",heritage,4.8,900
Andhra Pradesh,amararama,"Amararama",spiritual,4.4,900
Andhra Pradesh,ksheerarama,"Ksheerarama",spiritual,4.2,900
Andhra Pradesh,bhavanarayana-temple,"Bhavanarayana temple",spiritual,4.2,900
Andhra Pradesh,prasanna-venkateswara-temple,"Prasanna Venkateswara Temple",spiritual,4.5,900
Andhra Pradesh,devipuram,"Devipuram",spiritual,4.5,900
Andhra Pradesh,kurmanathaswamy-temple-srikurmam,"Kurmanathaswamy Temple, Srikurmam",spiritual,4.8,900
Andhra Pradesh,kolleru-bird-sanctuary,"Kolleru Bird Sanctuary",wildlife,4.5,2500
Andhra Pradesh,rajiv-gandhi-national-park,"Rajiv Gandhi National Park",wildlife,4.5,2500
Andhra Pradesh,rollapadu-wildlife-sanctuary,"Rollapadu Wildlife Sanctuary",wildlife,4.1,2500
Andhra Pradesh,sri-lakshmi-narasimha-swamy-temple-antarvedi,"Sri Lakshmi Narasimha Swamy Temple, Antarvedi",spiritual,4.5,900
Andhra Pradesh,vedanarayana-temple-nagalapuram,"Vedanarayana Temple, Nagalapuram",spiritual,4.3,900
Andhra Pradesh,parasuramesvara-temple,"Parasuramesvara Temple",spiritual,4.4,900
Andhra Pradesh,mangapuram-venkatesvara-vishnu-temple,"Mangapuram Venkatesvara Vishnu Temple",spiritual,4.7,900
Andhra Pradesh,lakshmi-narasimha-swamy-temple-penna-ahobilam,"Lakshmi Narasimha swamy temple, Penna Ahobilam",spiritual,4.6,900
Andhra Pradesh,someswara-swamy-temple-appikonda,"Someswara Swamy Temple, Appikonda",spiritual,4.6,900
Andhra Pradesh,koneti-rayala-swamy-temple,"Koneti Rayala Swamy Temple",spiritual,4.7,900
Andhra Pradesh,kotappakonda,"Kotappakonda",spiritual,4.1,900
Andhra Pradesh,lakshmi-narasimha-temple-mangalagiri,"Lakshmi Narasimha Temple, Mangalagiri",spiritual,4.7,900
Andhra Pradesh,beeramgunta-poleramma-temple,"Beeramgunta Poleramma Temple",spiritual,4.6,900
Andhra Pradesh,ratnagiri-fort,"Ratnagiri Fort",heritage,4.5,900
Andhra Pradesh,sri-kodandarama-swami-devastanam,"Sri Kodandarama Swami Devastanam",spiritual,4.5,900
Andhra Pradesh,talupulamma-lova,"Talupulamma Lova",spiritual,4.2,900
Andhra Pradesh,pushpagiri-group-of-temples,"Pushpagiri Group of Temples",spiritual,4.3,900
Andhra Pradesh,kotasattemma-temple-nidadavolu,"Kotasattemma Temple, Nidadavolu",spiritual,4.7,900
Andhra Pradesh,veerabhadra-temple-pattiseema,"Veerabhadra Temple, Pattiseema",spiritual,4.6,900
Andhra Pradesh,swayambhu-sri-abhista-gnana-ganapathi-temple,"Swayambhu Sri Abhista Gnana Ganapathi Temple",spiritual,4.7,900
Andhra Pradesh,thiripurantakesvararar-temple-tripuranthakam,"Thiripurantakesvararar Temple, Tripuranthakam",spiritual,4.3,900
Andhra Pradesh,chengalamma-parameshwari-temple,"Chengalamma Parameshwari Temple",spiritual,4.4,900
Andhra Pradesh,gangamma-temple-dhenuvakonda,"Gangamma Temple, Dhenuvakonda",spiritual,4.8,900
Andhra Pradesh,koulutla-chenna-kesava-temple,"Koulutla Chenna Kesava Temple",spiritual,4.6,900
Andhra Pradesh,gundla-brahmeswaram-wildlife-sanctuary,"Gundla Brahmeswaram Wildlife Sanctuary",wildlife,4.5,2500
Andhra Pradesh,ramayapatnam-beach,"Ramayapatnam Beach",beach,4.2,1200
Andhra Pradesh,ramalingeswara-swamy-temple,"Ramalingeswara swamy Temple",spiritual,4.1,900
Andhra Pradesh,dibbesvarasvamipur-temple,"Dibbesvarasvamipur Temple",spiritual,4.5,900
Andhra Pradesh,siddalakona,"SiddalaKona",spiritual,4.3,900
Andhra Pradesh,sri-sunama-jakini-matha,"Sri Sunama Jakini Matha",spiritual,4.2,900
Andhra Pradesh,peddintlamma-temple-kolletikota,"Peddintlamma Temple, Kolletikota",spiritual,4.3,900
Andhra Pradesh,sri-talpagiri-ranganadha-swamy-temple-nellore,"Sri Talpagiri Ranganadha Swamy Temple, Nellore",spiritual,4.7,900
Andhra Pradesh,andhra-shiridi,"Andhra Shiridi",spiritual,4.3,900
Andhra Pradesh,sai-shiva-balaji-mandir-dharmapuri,"Sai Shiva Balaji Mandir, Dharmapuri",spiritual,4.3,900
Andhra Pradesh,sri-sri-nookambika-ammavari-temple,"Sri Sri Nookambika Ammavari Temple",spiritual,4.8,900
Andhra Pradesh,chowdeshwari-temple-at-nandavaram,"Chowdeshwari Temple at Nandavaram",spiritual,4.4,900
Andhra Pradesh,maddi-anjaneya-temple,"Maddi Anjaneya Temple",spiritual,4.5,900
Andhra Pradesh,gandikota,"Gandikota",nature,4.8,2200
Arunachal Pradesh,ziro,"Ziro",hill_station,4.5,1400
Arunachal Pradesh,tawang,"Tawang",hill_station,4.6,1600
Arunachal Pradesh,malinithan,"Malinithan",spiritual,4.6,900
Arunachal Pradesh,eaglenest-wildlife-sanctuary,"Eaglenest Wildlife Sanctuary",wildlife,4.6,2500
Arunachal Pradesh,nuranang-falls,"Nuranang Falls",heritage,4.1,900
Arunachal Pradesh,chumi-gyatse-falls,"Chumi Gyatse Falls",heritage,4.4,900
Arunachal Pradesh,kameng-elephant-reserve,"Kameng Elephant Reserve",heritage,4.7,900
Arunachal Pradesh,sessa-orchid-sanctuary,"Sessa Orchid Sanctuary",wildlife,4.6,2500
Arunachal Pradesh,talley-valley-wildlife-sanctuary,"Talley Valley Wildlife Sanctuary",wildlife,4.6,2500
Arunachal Pradesh,itanagar-wildlife-sanctuary,"Itanagar Wildlife Sanctuary",wildlife,4.1,2500
Arunachal Pradesh,kane-wildlife-sanctuary,"Kane Wildlife Sanctuary",wildlife,4.6,2500
Arunachal Pradesh,mehao-wildlife-sanctuary,"Mehao Wildlife Sanctuary",wildlife,4.2,2500
Assam,kaziranga,"Kaziranga",wildlife,4.8,600
Assam,majuli,"Majuli",heritage,4.4,1000
Assam,kamakhya-temple,"Kamakhya Temple",spiritual,4.7,900
Assam,maidam,"Maidam",heritage,4.1,900
Assam,orang-national-park,"Orang National Park",wildlife,4.4,2500
Assam,pobitora-wildlife-sanctuary,"Pobitora Wildlife Sanctuary",wildlife,4.2,2500
Assam,sivasagar-sivadol,"Sivasagar Sivadol",spiritual,4.8,900
Assam,umananda-temple,"Umananda Temple",spiritual,4.4,900
Assam,assam-state-zoo-cum-botanical-garden,"Assam State Zoo cum Botanical Garden",wildlife,4.1,2500
Assam,hayagriva-madhava-temple,"Hayagriva Madhava Temple",spiritual,4.5,900
Assam,mahabhairav-temple,"Mahabhairav Temple",spiritual,4.4,900
Assam,negheriting-shiva-doul,"Negheriting Shiva Doul",spiritual,4.8,900
Assam,garampani-wildlife-sanctuary,"Garampani Wildlife Sanctuary",wildlife,4.1,2500
Assam,hoollongapar-gibbon-sanctuary,"Hoollongapar Gibbon Sanctuary",wildlife,4.5,2500
Assam,kareng-ghar,"Kareng Ghar",heritage,4.1,900
Assam,hatimura-temple,"Hatimura Temple",spiritual,4.5,900
Assam,maha-mrityunjay-temple,"Maha Mrityunjay Temple",spiritual,4.3,900
Assam,bura-chapori-wildlife-sanctuary,"Bura Chapori Wildlife Sanctuary",wildlife,4.3,2500
Assam,chakrashila-wildlife-sanctuary,"Chakrashila Wildlife Sanctuary",wildlife,4.2,2500
Assam,bornadi-wildlife-sanctuary,"Bornadi Wildlife Sanctuary",wildlife,4.5,2500
Assam,mahamaya-dham,"Mahamaya Dham",spiritual,4.7,900
Assam,burhi-gosani-devalaya-jorhat,"Burhi Gosani Devalaya Jorhat",spiritual,4.3,900
Assam,deopani-durga-mandir,"Deopani Durga Mandir",spiritual,4.5,900
Assam,gurdwara-sri-guru-tegh-bahadur-sahib,"Gurdwara Sri Guru Tegh Bahadur Sahib",heritage,4.4,900
Assam,da-parbatia,"Da Parbatia",spiritual,4.3,900
Assam,joysagar-vishnudol,"Joysagar Vishnudol",spiritual,4.6,900
Assam,bhimeswar-dham,"Bhimeswar Dham",spiritual,4.4,900
Assam,bharali-namghar,"Bharali Namghar",spiritual,4.7,900
Assam,bherjan-borajan-padumoni-wildlife-sanctuary,"Bherjan-Borajan-Padumoni Wildlife Sanctuary",wildlife,4.3,2500
Assam,east-karbi-anglong-wildlife-sanctuary,"East Karbi-Anglong Wildlife Sanctuary",wildlife,4.2,2500
Assam,amchang-wildlife-sanctuary,"Amchang Wildlife Sanctuary",wildlife,4.2,2500
Assam,pani-dihing-wildlife-sanctuary,"Pani Dihing Wildlife Sanctuary",wildlife,4.6,2500
Assam,lankeshwar-temple,"Lankeshwar Temple",spiritual,4.4,900
Assam,bagheswari-temple-bongaigaon,"Bagheswari Temple, Bongaigaon",spiritual,4.4,900
Assam,bileswar-temple,"Bileswar Temple",spiritual,4.6,900
Assam,nagsankar-mandir,"Nagsankar Mandir",spiritual,4.3,900
Assam,siva-doul,"Siva Doul",spiritual,4.5,900
Assam,vasudeva-doul,"Vasudeva Doul",spiritual,4.6,900
Assam,panimur,"Panimur",heritage,4.4,900
Assam,deepar-beel-wildlife-sanctuary,"Deepar Beel Wildlife Sanctuary",wildlife,4.2,2500
Assam,nambor-doigrung-wildlife-sanctuary,"Nambor - Doigrung Wildlife Sanctuary",wildlife,4.1,2500
Assam,govinda-temple-hojai,"Govinda Temple, Hojai",spiritual,4.7,900
Assam,golaghat-british-cemetery,"Golaghat British Cemetery",spiritual,4.3,900
Bihar,bodh-gaya,"Bodh Gaya",spiritual,4.7,900
Bihar,nalanda,"Nalanda",heritage,4.5,900
Bihar,rohtasgarh-fort,"Rohtasgarh Fort",heritage,4.5,900
Bihar,mundeshwari-temple,"Mundeshwari Temple",spiritual,4.7,900
Bihar,takht-sri-patna-sahib,"Takht Sri Patna Sahib",heritage,4.1,900
Bihar,kanwar-lake-bird-sanctuary,"Kanwar Lake Bird Sanctuary",wildlife,4.7,2500
Bihar,vishnupad-temple-gaya,"Vishnupad Temple, Gaya",spiritual,4.6,900
Bihar,baba-garib-sthan-mandir,"Baba Garib Sthan Mandir",spiritual,4.1,900
Bihar,bhimbandh-wildlife-sanctuary,"Bhimbandh Wildlife Sanctuary",wildlife,4.5,2500
Bihar,mangla-gauri-temple,"Mangla Gauri Temple",spiritual,4.8,900
Bihar,ashokdham-temple,"Ashokdham Temple",spiritual,4.4,900
Bihar,gautam-budha-wildlife-sanctuary,"Gautam Budha Wildlife Sanctuary",wildlife,4.7,2500
Bihar,udaypur-wildlife-sanctuary,"Udaypur Wildlife Sanctuary",wildlife,4.4,2500
Bihar,aranya-devi-temple-arrah,"Aranya Devi Temple, Arrah",spiritual,4.4,900
Bihar,maa-tara-chandi-temple,"Maa Tara Chandi Temple",spiritual,4.7,900
Bihar,kaimur-wildlife-sanctuary,"Kaimur Wildlife Sanctuary",wildlife,4.8,2500
Bihar,munger-fort,"Munger Fort",heritage,4.8,900
Bihar,buxar-fort,"Buxar Fort",heritage,4.5,900
Bihar,darbhanga-fort,"Darbhanga Fort",heritage,4.2,900
Bihar,gurdwara-bal-lila-maini-sangat,"Gurdwara Bal Lila Maini Sangat",heritage,4.7,900
Bihar,pataleshwar-mandir,"Pataleshwar Mandir",spiritual,4.8,900
Bihar,vikramshila-gangetic-dolphin-sanctuary,"Vikramshila Gangetic Dolphin Sanctuary",wildlife,4.7,2500
Bihar,chandika-sthan,"Chandika Sthan",spiritual,4.4,900
Bihar,pant-wildlife-sanctuary,"Pant Wildlife Sanctuary",wildlife,4.6,2500
Bihar,kapileshwar-temple,"Kapileshwar Temple",spiritual,4.6,900
Bihar,khudneshwar-asthan-morwa,"Khudneshwar Asthan Morwa",spiritual,4.2,900
Bihar,lal-keshwar-shiv-temple,"Lal Keshwar Shiv Temple",spiritual,4.3,900
Bihar,basilica-of-our-lady-of-divine-grace,"Basilica of Our Lady of Divine Grace",spiritual,4.7,900
Bihar,iskcon-temple-patna,"ISKCON Temple Patna",spiritual,4.1,900
Bihar,nagi-bird-sanctuary,"Nagi Bird Sanctuary",wildlife,4.6,2500
Bihar,barela-bird-sanctuary,"Barela Bird Sanctuary",wildlife,4.2,2500
Bihar,kusheshwar-asthan-bird-sanctuary,"Kusheshwar Asthan Bird Sanctuary",wildlife,4.3,2500
Bihar,rajauli-wildlife-sanctuary,"Rajauli Wildlife Sanctuary",wildlife,4.7,2500
Bihar,nandangarh-stupa-and-rampart,"Nandangarh Stupa and Rampart",heritage,4.4,900
Bihar,koncheswar-mahadev-temple,"Koncheswar Mahadev temple",spiritual,4.8,900
Bihar,sundernath,"Sundernath",spiritual,4.2,900
Bihar,vishwamitra-ashram-bisaul,"Vishwamitra Ashram, Bisaul",heritage,4.3,900
Bihar,gurdwara-handi-sahib,"Gurdwara Handi Sahib",heritage,4.2,900
Chandigarh,burail-fort,"Burail Fort",heritage,4.4,900
Chandigarh,manimajra-fort,"Manimajra Fort",heritage,4.4,900
Chhattisgarh,chitrakoot-falls,"Chitrakoot Falls",heritage,4.5,900
Chhattisgarh,teerathgarh-falls,"Teerathgarh Falls",scenic,4.8,900
Chhattisgarh,bhoramdeo-temple,"Bhoramdeo Temple",spiritual,4.7,900
Chhattisgarh,kotumsar-cave,"Kotumsar Cave",heritage,4.2,900
Chhattisgarh,bambleshwari-temple,"Bambleshwari Temple",spiritual,4.5,900
Chhattisgarh,maitri-baagh-zoo,"Maitri Baagh Zoo",wildlife,4.7,2500
Chhattisgarh,ashtabhuji-temple,"Ashtabhuji Temple",spiritual,4.1,900
Chhattisgarh,rajiv-lochan-temple-rajim,"Rajiv Lochan temple, Rajim",spiritual,4.6,900
Chhattisgarh,barfani-dham,"Barfani dham",spiritual,4.4,900
Chhattisgarh,dhumnath-temple,"Dhumnath Temple",spiritual,4.7,900
Chhattisgarh,cathedral-of-our-lady-of-the-rosary,"Cathedral of Our Lady of the Rosary",spiritual,4.4,900
Chhattisgarh,mahadev-temple-deobaloda,"Mahadev Temple, Deobaloda",spiritual,4.2,900
Chhattisgarh,indal-deul-temple-kharod,"Indal Deul temple, Kharod",spiritual,4.2,900
Chhattisgarh,nandanvan-jungle-safari,"Nandanvan Jungle Safari",wildlife,4.5,2500
Chhattisgarh,arang-jain-temples,"Arang Jain temples",spiritual,4.1,900
Chhattisgarh,bhooteshwarnath,"Bhooteshwarnath",spiritual,4.2,900
Chhattisgarh,mendri-ghumar,"Mendri Ghumar",heritage,4.3,900
Chhattisgarh,chitrakote-falls,"Chitrakote Falls",nature,4.8,2000
Daman & Diu,diu,"Diu",beach,4.3,1200
Daman & Diu,fort-st-anthony-of-simbor,"Fort St. Anthony of Simbor",heritage,4.7,900
Daman & Diu,dadra-and-nagar-haveli-wildlife-sanctuary,"Dadra and Nagar Haveli Wildlife Sanctuary",wildlife,4.6,2500
Delhi,new-delhi,"New Delhi",heritage,4.8,2200
Delhi,red-fort,"Red Fort",heritage,4.4,900
Delhi,lotus-temple,"Lotus Temple",spiritual,4.1,900
Delhi,chhatarpur-temple,"Chhatarpur Temple",spiritual,4.6,900
Delhi,jhandewalan-temple,"Jhandewalan Temple",spiritual,4.7,900
Delhi,asola-bhatti-wildlife-sanctuary,"Asola Bhatti Wildlife Sanctuary",wildlife,4.7,2500
Delhi,gurdwara-dam-dama-sahib,"Gurdwara Dam Dama Sahib",heritage,4.3,900
Delhi,st-sebastian-s-church,"St. Sebastian's Church,",spiritual,4.8,900
Delhi,st-james-orthodox-church-mayur-vihar-phase-3-delhi,"St. James' Orthodox Church, Mayur Vihar Phase-3, Delhi",spiritual,4.5,900
Goa,goa,"Goa",beach,4.5,400
Goa,western-ghats,"Western Ghats",hill_station,4.6,1500
Goa,dudhsagar-falls,"Dudhsagar Falls",heritage,4.1,900
Goa,basilica-of-bom-jesus,"Basilica of Bom Jesus",spiritual,4.3,900
Goa,bhagwan-mahaveer-sanctuary-and-mollem-national-park,"Bhagwan Mahaveer Sanctuary and Mollem National Park",wildlife,4.4,2500
Goa,fort-aguada,"Fort Aguada",heritage,4.6,900
Goa,vagator-beach,"Vagator Beach",beach,4.2,1200
Goa,mangueshi-temple,"Mangueshi Temple",spiritual,4.7,900
Goa,mahadev-temple-tambdi-surla,"Mahadev Temple, Tambdi Surla",spiritual,4.2,900
Goa,palolem-beach,"Palolem Beach",beach,4.6,1200
Goa,fort-tiracol,"Fort Tiracol",heritage,4.5,900
Goa,shanta-durga-temple,"Shanta Durga Temple",spiritual,4.4,900
Goa,our-lady-of-the-immaculate-conception-church,"Our Lady of the Immaculate Conception Church",spiritual,4.4,900
Goa,mhadei-wildlife-sanctuary,"Mhadei Wildlife Sanctuary",wildlife,4.3,2500
Goa,netravali-wildlife-sanctuary,"Netravali Wildlife Sanctuary",wildlife,4.3,2500
Goa,corjuem-fort,"Corjuem Fort",heritage,4.3,900
Goa,alorna-fort,"Alorna Fort",heritage,4.6,900
Goa,fort-of-sao-tiago-of-banastarim,"Fort of São Tiago of Banastarim",heritage,4.6,900
Goa,cabo-de-rama,"Cabo de Rama",heritage,4.3,900
Goa,church-of-our-lady-of-the-snows,"Church of Our Lady of the Snows",hill_station,4.3,1200
Goa,colvale-fort,"Colvale Fort",heritage,4.6,900
Goa,church-of-st-anne-talaulim,"Church of St. Anne, Talaulim",spiritual,4.2,900
Goa,saptakoteshwar-temple,"Saptakoteshwar Temple",spiritual,4.3,900
Goa,mormugao-fort,"Mormugão Fort",heritage,4.3,900
Goa,holy-spirit-church-margao,"Holy Spirit Church, Margao",spiritual,4.5,900
Goa,mallikarjuna-temple-goa,"Mallikarjuna Temple, Goa",spiritual,4.6,900
Goa,mahalasa-narayani-temple,"Mahalasa Narayani Temple",spiritual,4.6,900
Goa,mandrem-beach,"Mandrem Beach",beach,4.6,1200
Goa,shantadurga-kalangutkarin-temple,"Shantadurga Kalangutkarin Temple",spiritual,4.1,900
Goa,our-lady-of-grace-church,"Our Lady of Grace Church",spiritual,4.2,900
Goa,bambolim-beach,"Bambolim Beach",beach,4.1,1200
Goa,shri-damodar-sansthaan-goa,"Shri Damodar Sansthaan, Goa",spiritual,4.6,900
Goa,capela-de-nossa-senhora-da-saude,"Capela de Nossa Senhora da Saúde",spiritual,4.5,900
Gujarat,rann-of-kutch,"Rann of Kutch",adventure,4.6,600
Gujarat,ahmedabad,"Ahmedabad",heritage,4.4,1000
Gujarat,gir,"Gir National Park",wildlife,4.6,2500
Gujarat,dwarka,"Dwarka",spiritual,4.5,900
Gujarat,somnath,"Somnath",spiritual,4.6,900
Gujarat,saputara,"Saputara",hill_station,4.2,1100
Gujarat,statue-of-unity,"Statue of Unity",heritage,4.5,1500
Gujarat,gir-forest,"Gir Forest",wildlife,4.7,2500
Gujarat,nageshvara-jyotirlinga,"Nageshvara Jyotirlinga",spiritual,4.4,900
Gujarat,sun-temple,"Sun Temple",spiritual,4.8,900
Gujarat,vansda-national-park,"Vansda National Park",wildlife,4.7,2500
Gujarat,nal-sarovar-bird-sanctuary,"Nal Sarovar Bird Sanctuary",wildlife,4.3,2500
Gujarat,laxmi-vilas-palace,"Laxmi Vilas Palace",heritage,4.7,900
Gujarat,rudra-mahalaya-temple,"Rudra Mahalaya Temple",spiritual,4.5,900
Gujarat,akshardham-gandhinagar,"Akshardham (Gandhinagar)",spiritual,4.8,900
Gujarat,dandi-beach,"Dandi Beach",beach,4.7,1200
Gujarat,taranga,"Taranga",spiritual,4.3,900
Gujarat,palitana-temples,"Palitana temples",spiritual,4.3,900
Gujarat,navlakha-temple-ghumli,"Navlakha Temple, Ghumli",spiritual,4.3,900
Gujarat,dumas-beach,"Dumas Beach",beach,4.1,1200
Gujarat,uparkot-fort,"Uparkot Fort",heritage,4.7,900
Gujarat,rama-lakshamana-temples-baradia,"Rama Lakshamana Temples, Baradia",spiritual,4.7,900
Gujarat,pindara-group-of-temples,"Pindara Group of Temples",spiritual,4.3,900
Gujarat,shankheshwar-jain-temple,"Shankheshwar Jain Temple",spiritual,4.5,900
Gujarat,camp-hanuman-temple,"Camp Hanuman Temple",spiritual,4.2,900
Gujarat,girnar-jain-temples,"Girnar Jain temples",spiritual,4.1,900
Gujarat,shiva-temple-kera,"Shiva Temple, Kera",spiritual,4.3,900
Gujarat,magderu,"Magderu",spiritual,4.6,900
Gujarat,munsar-lake-and-shrines,"Munsar lake and shrines",spiritual,4.6,900
Gujarat,shri-hanuman-mandir,"Shri Hanuman Mandir",spiritual,4.3,900
Gujarat,khijadiya-bird-sanctuary,"Khijadiya Bird Sanctuary",wildlife,4.6,2500
Gujarat,bhujia-fort,"Bhujia Fort",heritage,4.5,900
Gujarat,songadh-fort,"Songadh Fort",heritage,4.2,900
Gujarat,sacred-heart-syro-malabar-cathedral,"Sacred Heart Syro-Malabar Cathedral",spiritual,4.2,900
Gujarat,shri-swaminarayan-mandir-gadhada,"Shri Swaminarayan Mandir, Gadhada",spiritual,4.5,900
Gujarat,utkanteshwar-mahadev,"Utkanteshwar Mahadev",spiritual,4.7,900
Gujarat,bhadreshwar-jain-temple,"Bhadreshwar Jain Temple",spiritual,4.5,900
Gujarat,lakhpat-gurdwara-sahib,"Lakhpat Gurdwara Sahib",heritage,4.1,900
Gujarat,kalika-mata-temple-new-dhrewad,"Kalika Mata Temple, New Dhrewad",spiritual,4.6,900
Gujarat,porbandar-bird-sanctuary,"Porbandar Bird Sanctuary",wildlife,4.5,2500
Gujarat,shivrajpur-beach,"Shivrajpur beach",beach,4.5,1200
Gujarat,roha-fort,"Roha Fort",heritage,4.1,900
Gujarat,kanthkot-fort,"Kanthkot Fort",heritage,4.4,900
Gujarat,eme-temple,"EME Temple",spiritual,4.7,900
Gujarat,umiya-temple-unjha,"Umiya Temple, Unjha",spiritual,4.6,900
Gujarat,trinetreshwar-temple,"Trinetreshwar Temple",spiritual,4.8,900
Gujarat,kumbharia-jain-temples,"Kumbharia Jain temples",spiritual,4.3,900
Gujarat,brahma-temple-khedbrahma,"Brahma Temple, Khedbrahma",spiritual,4.4,900
Gujarat,santram-mandir,"Santram Mandir",spiritual,4.6,900
Gujarat,balaram-ambaji-widelife-sanctuary,"Balaram Ambaji Widelife Sanctuary",wildlife,4.2,2500
Gujarat,mitiyala-lion-sanctuary,"Mitiyala Lion Sanctuary",wildlife,4.7,2500
Gujarat,kutch-bustard-sanctuary,"Kutch Bustard Sanctuary",wildlife,4.4,2500
Gujarat,thol-lake-bird-sanctuary,"Thol Lake Bird Sanctuary",wildlife,4.1,2500
Gujarat,jambughoda-wildlife-sanctuary,"Jambughoda Wildlife Sanctuary",wildlife,4.3,2500
Gujarat,english-cemetery-surat,"English Cemetery, Surat",heritage,4.1,900
Gujarat,vijaya-vilas-palace,"Vijaya Vilas Palace",heritage,4.1,900
Gujarat,rajmahal-mehsana,"Rajmahal, Mehsana",heritage,4.5,900
Gujarat,ahmedabad-kali-bari,"Ahmedabad Kali Bari",spiritual,4.1,900
Gujarat,jain-temples-pavagadh,"Jain temples, Pavagadh",spiritual,4.3,900
Gujarat,jain-temples-abhapur,"Jain temples, Abhapur",spiritual,4.7,900
Gujarat,shri-swaminarayan-mandir-vadtal,"Shri Swaminarayan Mandir, Vadtal",spiritual,4.3,900
Gujarat,tapkeshwari-temple,"Tapkeshwari Temple",spiritual,4.6,900
Gujarat,sitala-mata-temple-butapaldi,"Sitala Mata Temple, Butapaldi",spiritual,4.3,900
Gujarat,ranak-devi-s-temple,"Ranak Devi's Temple",spiritual,4.3,900
Gujarat,panchasara-parshwanath-temple,"Panchasara Parshwanath temple",spiritual,4.5,900
Gujarat,valinath-mahadev-temple-tarabh,"Valinath Mahadev temple, Tarabh",spiritual,4.3,900
Gujarat,shantinath-jain-temple-kothara,"Shantinath Jain temple, Kothara",spiritual,4.3,900
Gujarat,sadhimataji-s-temple,"Sadhimataji’s temple",spiritual,4.5,900
